"X1","Report ID","Report Type","Arrest Date","Time","Area ID","Area Name","Reporting District","Age","Sex Code","Descent Code","Charge Group Code","Charge Group Description","Arrest Type Code","Charge","Charge Description","Disposition Description","Address","Cross Street","LAT","LON","Location","Booking Date","Booking Time","Booking Location","Booking Location Code","week","date","month"
671,5946794,"BOOKING","06/01/2020 12:00:00 AM","2150","12","77th Street","1218",40,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","DISTRICT ATTORNEY REJECT","5400 S  VERMONT                      AV",NA,33.9923,-118.2915,"POINT (-118.2915 33.9923)","06/02/2020 12:00:00 AM","0218","77TH ST",4212,23,2020-06-01,6
674,5945712,"BOOKING","05/31/2020 12:00:00 AM","1900","07","Wilshire","0705",20,"M","H","11","Receive Stolen Property","F","496(A)PC","RECEIVING KNOWN STOLEN PROPERTY >$950","FELONY COMPLAINT FILED","LA BREA","MELROSE",34.0835,-118.3441,"POINT (-118.3441 34.0835)","06/01/2020 12:00:00 AM","0113","METRO - JAIL DIVISION",4273,22,2020-05-31,5
676,5947135,"BOOKING","06/02/2020 12:00:00 AM","1445","06","Hollywood","0646",24,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","849(B)(1) PC/TECHNICAL ARREST","COSMO","HOLLYWOOD",34.1016,-118.3288,"POINT (-118.3288 34.1016)","06/02/2020 12:00:00 AM","1727","HOLLYWOOD",4206,23,2020-06-02,6
677,5939048,"BOOKING","05/24/2020 12:00:00 AM","2120","01","Central","0111",39,"M","H","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","DISTRICT ATTORNEY REJECT","HILL                         ST","COLLEGE                      ST",34.0651,-118.2384,"POINT (-118.2384 34.0651)","05/24/2020 12:00:00 AM","2345","METRO - JAIL DIVISION",4273,21,2020-05-24,5
678,5942486,"BOOKING","05/28/2020 12:00:00 AM","1700","20","Olympic","2083",22,"F","H","16","Narcotic Drug Laws","F","11366HS","MAINTAIN PLACE TO SELL CONTROLLED SUBS","849(B)(1) PC/TECHNICAL ARREST","1600 S  WESTERN                      AV",NA,34.0432,-118.309,"POINT (-118.309 34.0432)","05/28/2020 12:00:00 AM","2236","VALLEY - JAIL DIV",4279,22,2020-05-28,5
679,5949531,"BOOKING","06/05/2020 12:00:00 AM","2236","07","Wilshire","0775",35,"F","H","16","Narcotic Drug Laws","F","11350(A)HS","POSSESSION NARCOTIC CONTROLLED SUBSTANCE","849(B)(1) PC/TECHNICAL ARREST","1700 S  LONGWOOD                     AV",NA,34.0437,-118.344,"POINT (-118.344 34.0437)","06/06/2020 12:00:00 AM","0211","METRO - JAIL DIVISION",4273,23,2020-06-05,6
680,5938615,"BOOKING","05/23/2020 12:00:00 AM","2225","12","77th Street","1213",43,"M","H","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","FELONY COMPLAINT FILED","WILTON","59TH                         ST",33.9921,-118.3108,"POINT (-118.3108 33.9921)","05/24/2020 12:00:00 AM","0329","77TH ST",4212,21,2020-05-23,5
681,5945844,"BOOKING","06/01/2020 12:00:00 AM","0205","03","Southwest","0317",25,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","OTHER (REQUIRES ADDITION ACTION)","CATALINA                     AV","W  22ND                         ST",34.0364,-118.2943,"POINT (-118.2943 34.0364)","06/01/2020 12:00:00 AM","0428","77TH ST",4212,23,2020-06-01,6
682,5940163,"BOOKING","05/26/2020 12:00:00 AM","1610","18","Southeast","1834",53,"M","B","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","300 E  107TH                        ST",NA,33.9393,-118.2695,"POINT (-118.2695 33.9393)","05/26/2020 12:00:00 AM","1813","77TH ST",4212,22,2020-05-26,5
683,5947842,"BOOKING","06/03/2020 12:00:00 AM","1420","14","Pacific","1494",32,"M","W","16","Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","849(B)(1) PC/TECHNICAL ARREST","500    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","06/03/2020 12:00:00 AM","1626","PACIFIC",4214,23,2020-06-03,6
684,5940423,"BOOKING","05/26/2020 12:00:00 AM","1700","18","Southeast","1837",21,"M","H","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","MISDEMEANOR COMPLAINT FILED","1600 E  109TH                        ST",NA,33.9368,-118.2463,"POINT (-118.2463 33.9368)","05/27/2020 12:00:00 AM","0217","77TH ST",4212,22,2020-05-26,5
685,5946791,"BOOKING","06/01/2020 12:00:00 AM","2150","12","77th Street","1218",21,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","FELONY COMPLAINT FILED","5400 S  VERMONT                      AV",NA,33.9923,-118.2915,"POINT (-118.2915 33.9923)","06/02/2020 12:00:00 AM","0212","77TH ST",4212,23,2020-06-01,6
687,5947406,"BOOKING","06/02/2020 12:00:00 AM","2050","10","West Valley","1012",40,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","OTHER (REQUIRES ADDITION ACTION)","7200    AMIGO                        AV",NA,34.2012,-118.5386,"POINT (-118.5386 34.2012)","06/02/2020 12:00:00 AM","2302","VALLEY - JAIL DIV",4279,23,2020-06-02,6
688,5946469,"BOOKING","06/01/2020 12:00:00 AM","1930","06","Hollywood","0646",21,"M","H","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","849(B)(1) PC/TECHNICAL ARREST","CAHUENGA","SELMA",34.0998,-118.3295,"POINT (-118.3295 34.0998)","06/02/2020 12:00:00 AM","0008","VALLEY - JAIL DIV",4279,23,2020-06-01,6
690,5940139,"BOOKING","05/26/2020 12:00:00 AM","1355","12","77th Street","1211",30,"M","B","24","Miscellaneous Other Violations","F","594(B)(1)PC","VANDALISM W/LOSS VALUED EQ OR > $400","DISTRICT ATTORNEY REJECT","2600 W  SLAUSON                      AV",NA,33.9922,-118.3276,"POINT (-118.3276 33.9922)","05/26/2020 12:00:00 AM","1736","77TH ST",4212,22,2020-05-26,5
691,5947817,"BOOKING","06/03/2020 12:00:00 AM","1145","20","Olympic","2035",41,"M","H","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","MISDEMEANOR COMPLAINT FILED","7TH","IROLO",34.0597,-118.3009,"POINT (-118.3009 34.0597)","06/03/2020 12:00:00 AM","1438","77TH ST",4212,23,2020-06-03,6
692,5947557,"BOOKING","06/02/2020 12:00:00 AM","2230","20","Olympic","2015",23,"F","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","200 N  CATALINA                     ST",NA,34.0745,-118.2954,"POINT (-118.2954 34.0745)","06/03/2020 12:00:00 AM","0202","77TH ST",4212,23,2020-06-02,6
693,5948483,"BOOKING","06/04/2020 12:00:00 AM","0255","21","Topanga","2134",25,"M","W","16","Narcotic Drug Laws","F","11378HS","POSSESSION CONTROLLED SUBSTANCE FOR SALE","849(B)(1) PC/TECHNICAL ARREST","LEADWELL","GLADE",34.2038,-118.6081,"POINT (-118.6081 34.2038)","06/04/2020 12:00:00 AM","0511","VALLEY - JAIL DIV",4279,23,2020-06-04,6
695,5940902,"BOOKING","05/27/2020 12:00:00 AM","1545","17","Devonshire","1745",29,"M","H","16","Narcotic Drug Laws","F","11378HS","POSSESSION CONTROLLED SUBSTANCE FOR SALE","FELONY COMPLAINT FILED","10300    ZELZAH                       AV",NA,34.2576,-118.5233,"POINT (-118.5233 34.2576)","05/27/2020 12:00:00 AM","1933","VALLEY - JAIL DIV",4279,22,2020-05-27,5
696,5938577,"BOOKING","05/24/2020 12:00:00 AM","0105","18","Southeast","1801",29,"M","H","07","Vehicle Theft","F","10851(E)VC","TAKE VEH:NO CNSNT:SPEC PR","FELONY COMPLAINT FILED","87TH                         ST","DENVER                       AV",33.9587,-118.2839,"POINT (-118.2839 33.9587)","05/24/2020 12:00:00 AM","0221","77TH ST",4212,21,2020-05-24,5
700,5939517,"BOOKING","05/25/2020 12:00:00 AM","1600","13","Newton","1385",22,"M","B","03","Robbery","F","211PC","ROBBERY","FELONY COMPLAINT FILED","6000 S  SAN PEDRO                    ST",NA,33.9843,-118.2696,"POINT (-118.2696 33.9843)","05/25/2020 12:00:00 AM","1944","77TH ST",4212,22,2020-05-25,5
703,5945107,"BOOKING","05/31/2020 12:00:00 AM","0020","07","Wilshire","0706",30,"M","B","11","Receive Stolen Property","F","496(A)PC","RECEIVING KNOWN STOLEN PROPERTY >$950","DISTRICT ATTORNEY REJECT","CITRUS","MELROSE",34.0835,-118.3397,"POINT (-118.3397 34.0835)","05/31/2020 12:00:00 AM","0226","HOLLYWOOD",4206,22,2020-05-31,5
705,5948619,"BOOKING","06/04/2020 12:00:00 AM","1130","03","Southwest","0361",39,"M","B","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","CITY ATTORNEY REJECT","PINAFORE                     ST","STEVELY                      AV",34.0149,-118.3536,"POINT (-118.3536 34.0149)","06/04/2020 12:00:00 AM","1413","77TH ST",4212,23,2020-06-04,6
707,5947062,"BOOKING","06/02/2020 12:00:00 AM","1130","12","77th Street","1245",37,"M","B","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","1300 W  66TH                         ST",NA,33.9791,-118.3003,"POINT (-118.3003 33.9791)","06/02/2020 12:00:00 AM","1333","77TH ST",4212,23,2020-06-02,6
710,5942429,"BOOKING","05/28/2020 12:00:00 AM","1900","05","Harbor","0566",26,"F","H","16","Narcotic Drug Laws","F","11378HS","POSSESSION CONTROLLED SUBSTANCE FOR SALE","OTHER (REQUIRES ADDITION ACTION)","13TH","BEACON",33.7324,-118.2805,"POINT (-118.2805 33.7324)","05/28/2020 12:00:00 AM","2038","HARBOR",4205,22,2020-05-28,5
712,5938195,"BOOKING","05/23/2020 12:00:00 AM","1130","12","77th Street","1268",28,"M","H","16","Narcotic Drug Laws","M","11377(A)HS","POSSESSION CONTROLLED SUBSTANCE","CITY ATTORNEY REJECT","200 E  83RD                         ST",NA,33.9637,-118.2695,"POINT (-118.2695 33.9637)","05/23/2020 12:00:00 AM","1523","77TH ST",4212,21,2020-05-23,5
714,5942974,"BOOKING","05/29/2020 12:00:00 AM","1020","12","77th Street","1249",31,"F","B","04","Aggravated Assault","F","243(D)PC","BATTERY W/GBI","CITY ATTORNEY REJECT","6500    DENVER                       AV",NA,33.9795,-118.2838,"POINT (-118.2838 33.9795)","05/29/2020 12:00:00 AM","1212","77TH ST",4212,22,2020-05-29,5
716,5942466,"BOOKING","05/28/2020 12:00:00 AM","1710","12","77th Street","1248",35,"F","H","16","Narcotic Drug Laws","F","11379(A)HS","TRANSPORT/SELL CONTROLLED SUBSTANCE","FELONY COMPLAINT FILED","900 W  65TH                         ST",NA,33.9801,-118.2914,"POINT (-118.2914 33.9801)","05/28/2020 12:00:00 AM","2203","77TH ST",4212,22,2020-05-28,5
717,5938493,"BOOKING","05/23/2020 12:00:00 AM","2220","17","Devonshire","1747",28,"F","B","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","MISDEMEANOR COMPLAINT FILED","SAN JOSE","PETIT",34.2611,-118.498,"POINT (-118.498 34.2611)","05/24/2020 12:00:00 AM","0019","VALLEY - JAIL DIV",4279,21,2020-05-23,5
718,200512594,"RFC","05/24/2020 12:00:00 AM","0900","05","Harbor","0566",31,"F","H","24","Miscellaneous Other Violations","M","63.44LAMC","PARK REGULATIONS","MISDEMEANOR COMPLAINT FILED","BEACON                       ST","12TH                         ST",33.7333,-118.2805,"POINT (-118.2805 33.7333)",NA,NA,NA,NA,21,2020-05-24,5
724,5939634,"BOOKING","05/25/2020 12:00:00 AM","1600","13","Newton","1385",17,"M","B","03","Robbery","F","211PC","ROBBERY",NA,"6000 S  SAN PEDRO                    ST",NA,33.9843,-118.2696,"POINT (-118.2696 33.9843)","05/25/2020 12:00:00 AM","2323","METRO - JAIL DIVISION",4273,22,2020-05-25,5
725,5939771,"BOOKING","05/26/2020 12:00:00 AM","0130","12","77th Street","1245",29,"M","B","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","69TH                         ST","DENKER",33.977,-118.3046,"POINT (-118.3046 33.977)","05/26/2020 12:00:00 AM","0318","77TH ST",4212,22,2020-05-26,5
727,5942688,"BOOKING","05/29/2020 12:00:00 AM","0500","08","West LA","0857",19,"F","B","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","1100 S  BEVERLY                      DR",NA,34.0564,-118.3962,"POINT (-118.3962 34.0564)","05/29/2020 12:00:00 AM","0805","METRO - JAIL DIVISION",4273,22,2020-05-29,5
728,5939725,"BOOKING","05/25/2020 12:00:00 AM","2300","16","Foothill","1663",20,"M","H","24","Miscellaneous Other Violations","F","594(A)(2)PC","DAMAGE PROPERTY","FELONY COMPLAINT FILED","TELFAIR                      AV","ALLEGHENY                    ST",34.2353,-118.3957,"POINT (-118.3957 34.2353)","05/26/2020 12:00:00 AM","0141","VALLEY - JAIL DIV",4279,22,2020-05-25,5
729,5949836,"BOOKING","06/06/2020 12:00:00 AM","0600","18","Southeast","1871",18,"M","H","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","MISDEMEANOR COMPLAINT FILED","800 W  ROSECRANS                    AV",NA,33.9019,-118.2898,"POINT (-118.2898 33.9019)","06/06/2020 12:00:00 AM","0732","77TH ST",4212,23,2020-06-06,6
731,5938613,"BOOKING","05/23/2020 12:00:00 AM","2100","15","N Hollywood","1549",46,"M","W","24","Miscellaneous Other Violations","F","207(A)PC","KIDNAPPING","CITY ATTORNEY REJECT","CUMPSTON","STROHM",34.17,-118.3594,"POINT (-118.3594 34.17)","05/24/2020 12:00:00 AM","0324","VALLEY - JAIL DIV",4279,21,2020-05-23,5
734,5939933,"BOOKING","05/26/2020 12:00:00 AM","0630","13","Newton","1373",39,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","900 E  55TH                         ST",NA,33.9925,-118.2594,"POINT (-118.2594 33.9925)","05/26/2020 12:00:00 AM","1128","METRO - JAIL DIVISION",4273,22,2020-05-26,5
735,5937971,"BOOKING","05/23/2020 12:00:00 AM","0005","20","Olympic","2026",22,"M","H","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","FELONY COMPLAINT FILED","3RD","BERENDO",34.0691,-118.2941,"POINT (-118.2941 34.0691)","05/23/2020 12:00:00 AM","0233","METRO - JAIL DIVISION",4273,21,2020-05-23,5
736,201012255,"RFC","05/28/2020 12:00:00 AM","2000","10","West Valley","1018",47,"M","H","21","Gambling","M","43.13.2LAMC","PRES AT GAMBLING","MISDEMEANOR COMPLAINT FILED","7500    WOODLEY                      AV",NA,34.2066,-118.4837,"POINT (-118.4837 34.2066)",NA,NA,NA,NA,22,2020-05-28,5
738,5944424,"BOOKING","05/30/2020 12:00:00 AM","0340","13","Newton","1323",22,"F","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","27TH","CENTRAL",34.0181,-118.2561,"POINT (-118.2561 34.0181)","05/30/2020 12:00:00 AM","0528","77TH ST",4212,22,2020-05-30,5
739,200512592,"RFC","05/24/2020 12:00:00 AM","1500","05","Harbor","0584",24,"M","H","24","Miscellaneous Other Violations","M","602(A)PC","CUTTING DOWN/DESTROY/INJ STANDING TIMBR","MISDEMEANOR COMPLAINT FILED","800 W  PASEO DEL MAR",NA,33.707,-118.2936,"POINT (-118.2936 33.707)",NA,NA,NA,NA,21,2020-05-24,5
740,5949018,"BOOKING","06/05/2020 12:00:00 AM","0130","13","Newton","1344",38,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","MISDEMEANOR COMPLAINT FILED","600 E  42ND                         ST",NA,34.0075,-118.2653,"POINT (-118.2653 34.0075)","06/05/2020 12:00:00 AM","0321","77TH ST",4212,23,2020-06-05,6
742,5939880,"BOOKING","05/26/2020 12:00:00 AM","0715","14","Pacific","1494",42,"F","B","24","Miscellaneous Other Violations","F","148.1(A)PC","FALSE REPORT OF BOMB TO PUBLIC AGENCY/BUS","FELONY COMPLAINT FILED","300    WORLDWAY",NA,33.942,-118.4095,"POINT (-118.4095 33.942)","05/26/2020 12:00:00 AM","0949","PACIFIC",4214,22,2020-05-26,5
743,5949023,"BOOKING","06/05/2020 12:00:00 AM","0200","05","Harbor","0564",22,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","DISTRICT ATTORNEY REJECT","400 W  SANTA CRUZ                   ST",NA,33.741,-118.2838,"POINT (-118.2838 33.741)","06/05/2020 12:00:00 AM","0330","HARBOR",4205,23,2020-06-05,6
747,5938959,"BOOKING","05/24/2020 12:00:00 AM","1705","04","Hollenbeck","0497",37,"M","H","07","Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","849(B)(1) PC/TECHNICAL ARREST","HOLABIRD                     AV","GRANDE VISTA                 AV",34.0128,-118.2059,"POINT (-118.2059 34.0128)","05/24/2020 12:00:00 AM","2104","METRO - JAIL DIVISION",4273,21,2020-05-24,5
749,5937972,"BOOKING","05/23/2020 12:00:00 AM","0010","18","Southeast","1846",37,"M","B","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","DISTRICT ATTORNEY REJECT","PARMELEE                     AV","114TH                        ST",33.9321,-118.2502,"POINT (-118.2502 33.9321)","05/23/2020 12:00:00 AM","0341","77TH ST",4212,21,2020-05-23,5
750,5947594,"BOOKING","06/02/2020 12:00:00 AM","1700","06","Hollywood","0647",19,"M","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","DISTRICT ATTORNEY REJECT","HOLLYWOOD","CAHUENGA",34.0998,-118.3211,"POINT (-118.3211 34.0998)","06/03/2020 12:00:00 AM","0249","HOLLYWOOD",4206,23,2020-06-02,6
751,5939608,"BOOKING","05/25/2020 12:00:00 AM","2100","20","Olympic","2039",34,"F","H","04","Aggravated Assault","F","273A(A)PC","CRUEL TO CHILD LIKELY TO PROD GBI/DEATH","MISDEMEANOR COMPLAINT FILED","HOOVER","7TH                          ST",34.0598,-118.2842,"POINT (-118.2842 34.0598)","05/25/2020 12:00:00 AM","2231","METRO - JAIL DIVISION",4273,22,2020-05-25,5
753,5938269,"BOOKING","05/23/2020 12:00:00 AM","1230","03","Southwest","0361",19,"M","H","12","Weapon (carry/poss)","F","25400(A)1PC","CARRY CONCEALED WEAPON IN VEHICLE","CITY ATTORNEY REJECT","AUGUST","NICOLET",34.0173,-118.353,"POINT (-118.353 34.0173)","05/23/2020 12:00:00 AM","1815","77TH ST",4212,21,2020-05-23,5
754,5939019,"BOOKING","05/24/2020 12:00:00 AM","1900","03","Southwest","0314",15,"M","B","03","Robbery","F","211PC","ROBBERY","OTHER LAW ENFORCEMENT AGENCY","3900 W  27TH                         ST",NA,34.0315,-118.3275,"POINT (-118.3275 34.0315)","05/24/2020 12:00:00 AM","2233","METRO - JAIL DIVISION",4273,21,2020-05-24,5
755,5945663,"BOOKING","05/31/2020 12:00:00 AM","1800","21","Topanga","2134",19,"M","H","24","Miscellaneous Other Violations","F","182(A)(1)PC","CONSPIRACY TO COMMIT ANY CRIME","CITY ATTORNEY REJECT","FARRALONE","SHERMAN                      WY",34.201,-118.6103,"POINT (-118.6103 34.201)","06/01/2020 12:00:00 AM","0022","VALLEY - JAIL DIV",4279,22,2020-05-31,5
756,5940282,"BOOKING","05/26/2020 12:00:00 AM","1540","03","Southwest","0332",29,"M","H","07","Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","FELONY COMPLAINT FILED","WEST                         BL","30TH                         ST",34.0276,-118.3417,"POINT (-118.3417 34.0276)","05/26/2020 12:00:00 AM","2134","METRO - JAIL DIVISION",4273,22,2020-05-26,5
759,5948438,"BOOKING","06/03/2020 12:00:00 AM","2100","06","Hollywood","0636",20,"M","B","05","Burglary","F","A459PC","ATTEMPT - BURGLARY","FELONY COMPLAINT FILED","SANTA MONICA                 BL","CAHUENGA                     BL",34.1034,-118.3325,"POINT (-118.3325 34.1034)","06/04/2020 12:00:00 AM","0303","HOLLYWOOD",4206,23,2020-06-03,6
760,5939795,"BOOKING","05/26/2020 12:00:00 AM","0215","19","Mission","1984",35,"M","H","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","MISDEMEANOR COMPLAINT FILED","8400    WILLIS                       AV",NA,34.2231,-118.4553,"POINT (-118.4553 34.2231)","05/26/2020 12:00:00 AM","0458","VALLEY - JAIL DIV",4279,22,2020-05-26,5
762,5939573,"BOOKING","05/25/2020 12:00:00 AM","1930","01","Central","0143",47,"F","W","24","Miscellaneous Other Violations","F","594(A)(1)PC","DEFACE PROPERTY","DISTRICT ATTORNEY REJECT","400 S  BROADWAY",NA,34.0489,-118.2499,"POINT (-118.2499 34.0489)","05/25/2020 12:00:00 AM","2139","METRO - JAIL DIVISION",4273,22,2020-05-25,5
764,5945628,"BOOKING","05/31/2020 12:00:00 AM","1800","21","Topanga","2134",19,"M","H","24","Miscellaneous Other Violations","F","182(A)(1)PC","CONSPIRACY TO COMMIT ANY CRIME","MISDEMEANOR COMPLAINT FILED","FARRALONE","SHERMAN",34.201,-118.6103,"POINT (-118.6103 34.201)","05/31/2020 12:00:00 AM","2347","VALLEY - JAIL DIV",4279,22,2020-05-31,5
766,5949182,"BOOKING","06/05/2020 12:00:00 AM","1100","14","Pacific","1441",48,"F","W","05","Burglary","F","459PC","BURGLARY","CITY ATTORNEY REJECT","00    WASHINGTON                   BL",NA,33.979,-118.4669,"POINT (-118.4669 33.979)","06/05/2020 12:00:00 AM","1333","PACIFIC",4214,23,2020-06-05,6
767,5939336,"BOOKING","05/25/2020 12:00:00 AM","1100","19","Mission","1983",20,"F","B","08","Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","849(B)(1) PC/TECHNICAL ARREST","15100    CHASE                        ST",NA,34.2246,-118.4622,"POINT (-118.4622 34.2246)","05/25/2020 12:00:00 AM","1314","VALLEY - JAIL DIV",4279,22,2020-05-25,5
768,5949533,"BOOKING","06/05/2020 12:00:00 AM","2315","18","Southeast","1863",64,"F","B","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","CITY ATTORNEY REJECT","300 E  116TH                        ST",NA,33.9292,-118.2665,"POINT (-118.2665 33.9292)","06/06/2020 12:00:00 AM","0221","77TH ST",4212,23,2020-06-05,6
769,5941362,"BOOKING","05/28/2020 12:00:00 AM","0028","12","77th Street","1257",27,"M","H","07","Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","FELONY COMPLAINT FILED","600 W  76TH                         ST",NA,33.9708,-118.286,"POINT (-118.286 33.9708)","05/28/2020 12:00:00 AM","0421","77TH ST",4212,22,2020-05-28,5
770,5945640,"BOOKING","05/31/2020 12:00:00 AM","1800","21","Topanga","2145",19,"M","H","24","Miscellaneous Other Violations","F","182(A)(1)PC","CONSPIRACY TO COMMIT ANY CRIME","CITY ATTORNEY REJECT","SHERMAN                      WY","FARRALONE",34.1923,-118.6104,"POINT (-118.6104 34.1923)","05/31/2020 12:00:00 AM","2354","VALLEY - JAIL DIV",4279,22,2020-05-31,5
771,5946211,"BOOKING","06/01/2020 12:00:00 AM","1850","09","Van Nuys","0943",22,"F","B","05","Burglary","F","463(A)PC","2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC","DISTRICT ATTORNEY REJECT","5600 W  BURBANK                      BL",NA,34.1721,-118.4483,"POINT (-118.4483 34.1721)","06/01/2020 12:00:00 AM","2048","VALLEY - JAIL DIV",4279,23,2020-06-01,6
773,5940508,"BOOKING","05/27/2020 12:00:00 AM","0240","10","West Valley","1005",24,"F","H","07","Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","FELONY COMPLAINT FILED","STRATHERN","LINDLEY",34.2157,-118.5273,"POINT (-118.5273 34.2157)","05/27/2020 12:00:00 AM","0553","VALLEY - JAIL DIV",4279,22,2020-05-27,5
774,5939863,"BOOKING","05/26/2020 12:00:00 AM","0620","13","Newton","1309",41,"M","H","24","Miscellaneous Other Violations","F","594(B)(1)PC","VANDALISM W/LOSS VALUED EQ OR > $400","CITY ATTORNEY REJECT","2000 E  8TH                          ST",NA,34.0295,-118.2353,"POINT (-118.2353 34.0295)","05/26/2020 12:00:00 AM","0850","METRO - JAIL DIVISION",4273,22,2020-05-26,5
775,5947099,"BOOKING","06/02/2020 12:00:00 AM","1400","18","Southeast","1861",19,"M","B","04","Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","CITY ATTORNEY REJECT","11800 S  FIGUEROA                     ST",NA,33.9274,-118.2871,"POINT (-118.2871 33.9274)","06/02/2020 12:00:00 AM","1524","77TH ST",4212,23,2020-06-02,6
778,200709554,"RFC","05/23/2020 12:00:00 AM","1600","07","Wilshire","0752",25,"M","H","16","Narcotic Drug Laws","M","11377HS","POSSESSION CONTROLLED SUBSTANCE","MISDEMEANOR COMPLAINT FILED","1100 S  FAIRFAX                      AV",NA,34.0558,-118.3706,"POINT (-118.3706 34.0558)",NA,NA,NA,NA,21,2020-05-23,5
779,5938711,"BOOKING","05/24/2020 12:00:00 AM","0840","03","Southwest","0312",37,"M","H","22","Driving Under Influence","M","23153(A)VC","DUI ALCOHOL CAUSING INJURY","MISDEMEANOR COMPLAINT FILED","LA BREA                      AV","EXPOSITION                   BL",34.0249,-118.3549,"POINT (-118.3549 34.0249)","05/24/2020 12:00:00 AM","1008","77TH ST",4212,21,2020-05-24,5
780,5946921,"BOOKING","06/02/2020 12:00:00 AM","0250","16","Foothill","1645",30,"M","H","04","Aggravated Assault","F","245(C)PC","ADW PO/FIREMAN W/O FIREARM/GBI","FELONY COMPLAINT FILED","DE HAVEN","TERRA BELLA",34.2671,-118.4057,"POINT (-118.4057 34.2671)","06/02/2020 12:00:00 AM","0518","VALLEY - JAIL DIV",4279,23,2020-06-02,6
781,5949313,"BOOKING","06/05/2020 12:00:00 AM","1900","14","Pacific","1431",43,"F","W","04","Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","849(B)(1) PC/TECHNICAL ARREST","WESTMINSTER","OCEAN FRONT WAY",33.9885,-118.4751,"POINT (-118.4751 33.9885)","06/05/2020 12:00:00 AM","2034","PACIFIC",4214,23,2020-06-05,6
782,5938633,"BOOKING","05/24/2020 12:00:00 AM","0355","18","Southeast","1801",33,"M","B","12","Weapon (carry/poss)","F","30305(A)1PC","ILLEGAL POSSESSION OF AMMUNITION","DISTRICT ATTORNEY REJECT","8700    REGINA                       ST",NA,33.9579,-118.2848,"POINT (-118.2848 33.9579)","05/24/2020 12:00:00 AM","0652","77TH ST",4212,21,2020-05-24,5
